,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,BuildAge,RemodAge,GarageAge,SalePrice
13,14,20,RL,91.0,10652,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,Av,1,0,1,0,1494,1494,GasA,5,1,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,RFn,3,840,3,3,Y,160,33,0,0,0,0,0,None,None,0,8,2007,New,Partial,1,0,1,279500
14,15,20,RL,0.0,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,No,4,733,1,0,520,1253,GasA,3,1,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,RFn,1,352,3,3,Y,0,213,176,0,0,0,0,GdWo,None,0,5,2008,WD,Normal,48,48,48,157000
15,16,45,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,No,1,0,1,0,832,832,GasA,5,1,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,Unf,2,576,3,3,Y,48,112,0,0,0,0,0,GdPrv,None,0,7,2007,WD,Normal,78,6,16,132000
16,17,20,RL,0.0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,No,5,578,1,0,426,1004,GasA,5,1,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,Fin,2,480,3,3,Y,0,0,0,0,0,0,0,None,Shed,700,3,2010,WD,Normal,40,40,40,149000
17,18,90,RL,72.0,10791,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,None,0,0,0,0,0,0,GasA,3,1,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,CarPort,Unf,2,516,3,3,Y,0,0,0,0,0,0,0,None,Shed,500,10,2006,WD,Normal,39,39,39,90000
18,19,20,RL,66.0,13695,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,No,6,646,1,0,468,1114,GasA,5,1,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,Unf,2,576,3,3,Y,0,102,0,0,0,0,0,None,None,0,6,2008,WD,Normal,4,4,4,159000
19,20,20,RL,70.0,7560,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,No,2,504,1,0,525,1029,GasA,3,1,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,0,Attchd,Unf,1,294,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,5,2009,COD,Abnorml,51,44,51,139000
20,21,60,RL,101.0,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,Av,1,0,1,0,1158,1158,GasA,5,1,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,RFn,3,853,3,3,Y,240,154,0,0,0,0,0,None,None,0,11,2006,New,Partial,1,0,1,325300
21,22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,1,0,1,0,637,637,GasA,5,1,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,Unf,1,280,3,3,N,0,0,205,0,0,0,0,GdPrv,None,0,6,2007,WD,Normal,77,57,77,139400
22,23,20,RL,75.0,9742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,No,1,0,1,0,1777,1777,GasA,5,1,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,RFn,2,534,3,3,Y,171,159,0,0,0,0,0,None,None,0,9,2008,WD,Normal,6,6,6,230000
23,24,120,RM,44.0,4224,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,No,6,840,1,0,200,1040,GasA,3,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,Unf,2,572,3,3,Y,100,110,0,0,0,0,0,None,None,0,6,2007,WD,Normal,31,31,31,129900
24,25,20,RL,0.0,8246,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,Mn,3,188,5,668,204,1060,GasA,5,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,Attchd,Unf,1,270,3,3,Y,406,90,0,0,0,0,0,MnPrv,None,0,5,2010,WD,Normal,42,9,42,154000
25,26,20,RL,110.0,14230,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,No,1,0,1,0,1566,1566,GasA,5,1,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,RFn,3,890,3,3,Y,0,56,0,0,0,0,0,None,None,0,7,2009,WD,Normal,2,2,2,256300
26,27,20,RL,60.0,7200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,Mn,4,234,3,486,180,900,GasA,3,1,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,0,Detchd,Unf,2,576,3,3,Y,222,32,0,0,0,0,0,None,None,0,5,2010,WD,Normal,59,10,5,134800
27,28,20,RL,98.0,11478,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,No,6,1218,1,0,486,1704,GasA,5,1,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,RFn,3,772,3,3,Y,0,50,0,0,0,0,0,None,None,0,5,2010,WD,Normal,3,2,2,306000
28,29,20,RL,47.0,16321,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,Gd,4,1277,1,0,207,1484,GasA,3,1,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,Attchd,RFn,1,319,3,3,Y,288,258,0,0,0,0,0,None,None,0,12,2006,WD,Normal,49,9,49,207500
29,30,30,RM,60.0,6324,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,1,0,1,0,520,520,GasA,2,0,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,0,Detchd,Unf,1,240,2,3,Y,49,0,87,0,0,0,0,None,None,0,5,2008,WD,Normal,81,58,88,68500
30,31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,No,1,0,1,0,649,649,GasA,3,0,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,Unf,1,250,3,2,N,0,54,172,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,88,58,88,40000
31,32,20,RL,0.0,8544,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,1,0,1,0,1228,1228,GasA,4,1,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,Unf,1,271,3,3,Y,0,65,0,0,0,0,0,MnPrv,None,0,6,2008,WD,Normal,42,2,42,149350
32,33,20,RL,85.0,11049,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,Av,1,0,1,0,1234,1234,GasA,5,1,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,RFn,2,484,3,3,Y,0,30,0,0,0,0,0,None,None,0,1,2008,WD,Normal,1,1,1,179900
33,34,20,RL,70.0,10552,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,No,3,1018,1,0,380,1398,GasA,4,1,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,Typ,1,4,Attchd,RFn,2,447,3,3,Y,0,38,0,0,0,0,0,None,None,0,4,2010,WD,Normal,51,51,51,165500
34,35,120,RL,60.0,7313,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,No,6,1153,1,0,408,1561,GasA,5,1,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,Fin,2,556,3,3,Y,203,47,0,0,0,0,0,None,None,0,8,2007,WD,Normal,2,2,2,277500
35,36,60,RL,108.0,13418,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,Av,1,0,1,0,1117,1117,GasA,5,1,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,Fin,3,691,3,3,Y,113,32,0,0,0,0,0,None,None,0,9,2006,WD,Normal,2,1,2,309000
36,37,20,RL,112.0,10859,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,1,0,1,0,1097,1097,GasA,5,1,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,Unf,2,672,3,3,Y,392,64,0,0,0,0,0,None,None,0,6,2009,WD,Normal,15,14,14,145000
37,38,20,RL,74.0,8532,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,No,3,1213,1,0,84,1297,GasA,4,1,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,3,Attchd,Fin,2,498,3,3,Y,0,0,0,0,0,0,0,None,None,0,10,2009,WD,Normal,55,19,55,153000
38,39,20,RL,68.0,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,No,6,731,1,0,326,1057,GasA,3,1,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,0,Detchd,Unf,1,246,3,3,Y,0,52,0,0,0,0,0,None,None,0,1,2010,WD,Abnorml,57,3,57,109000
39,40,90,RL,65.0,6040,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,None,0,0,0,0,0,0,GasA,3,0,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,Typ,0,0,None,None,0,0,0,0,N,0,0,0,0,0,0,0,None,None,0,6,2008,WD,AdjLand,53,53,0,82000
40,41,20,RL,84.0,8658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,No,3,643,1,0,445,1088,GasA,5,1,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,3,Attchd,RFn,2,440,3,3,Y,0,138,0,0,0,0,0,GdWo,None,0,12,2006,WD,Abnorml,41,41,41,160000
41,42,20,RL,115.0,16905,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,Gd,4,967,1,0,383,1350,GasA,4,1,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,4,Attchd,RFn,1,308,3,3,P,0,104,0,0,0,0,0,None,None,0,7,2007,WD,Normal,48,48,48,170000
42,43,85,RL,0.0,9180,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,Av,5,747,2,93,0,840,GasA,4,1,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,0,Attchd,RFn,2,504,3,4,Y,240,0,0,0,0,0,0,MnPrv,None,0,12,2007,WD,Normal,24,24,24,144000
43,44,20,RL,0.0,9200,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,Av,2,280,4,491,167,938,GasA,3,1,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,1,308,3,3,Y,145,0,0,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,33,28,31,130250
44,45,20,RL,70.0,7945,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,5,179,4,506,465,1150,GasA,5,1,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,RFn,1,300,3,3,Y,0,0,0,0,0,0,0,None,None,0,5,2006,WD,Normal,47,47,47,141000
45,46,120,RL,61.0,7658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,No,6,456,1,0,1296,1752,GasA,5,1,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,RFn,2,576,3,3,Y,196,82,0,0,0,0,0,None,None,0,2,2010,WD,Normal,5,5,5,319900
46,47,50,RL,48.0,12822,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,No,6,1351,1,0,83,1434,GasA,5,1,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,Typ,1,5,Attchd,RFn,2,670,3,3,Y,168,43,0,0,198,0,0,None,None,0,8,2009,WD,Abnorml,6,6,6,239686
47,48,20,FV,84.0,11096,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,6,24,1,0,1632,1656,GasA,5,1,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,RFn,3,826,3,3,Y,0,146,0,0,0,0,0,None,None,0,7,2007,WD,Normal,1,1,1,249700
48,49,190,RM,33.0,4456,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,1,0,1,0,736,736,GasA,4,1,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,Typ,0,0,None,None,0,0,0,0,N,0,0,102,0,0,0,0,None,None,0,6,2009,New,Partial,89,1,0,113000
49,50,20,RL,66.0,7742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,4,763,1,0,192,955,GasA,5,1,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,Unf,1,386,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,1,2007,WD,Normal,41,41,41,127000
50,51,60,RL,0.0,13869,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,Av,6,182,1,0,612,794,GasA,4,1,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,Typ,0,0,Attchd,Fin,2,388,3,3,Y,0,75,0,0,0,0,0,None,None,0,7,2007,WD,Normal,10,10,10,177000
51,52,50,RM,52.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,1,0,1,0,816,816,GasA,3,1,SBrkr,816,0,360,1176,0,0,1,0,3,1,3,6,Typ,1,4,Detchd,Unf,2,528,3,3,Y,112,0,0,0,0,0,0,MnPrv,Shed,400,9,2006,WD,Normal,72,56,21,114500
52,53,90,RM,110.0,8472,Grvl,None,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,Gd,2,104,6,712,0,816,GasA,3,0,SBrkr,816,0,0,816,1,0,1,0,2,1,3,5,Typ,0,0,CarPort,Unf,2,516,3,3,Y,106,0,0,0,0,0,0,None,None,0,5,2010,WD,Normal,47,47,47,110000
